workload,db,N,rep,first_query_us,avg_us,majflt,minflt
Z,orig,0,1,312.98,1.40,2,10
Z,orig,0,2,319.16,1.41,2,10
Z,orig,0,3,328.98,1.43,2,10
Z,orig,1,1,391.00,1.41,3,9
Z,orig,1,2,390.00,1.43,3,9
Z,orig,1,3,382.56,1.44,3,9
Z,orig,5,1,225.53,1.42,2,10
Z,orig,5,2,213.21,1.42,2,10
Z,orig,5,3,221.99,1.42,2,11
Z,orig,10,1,221.72,1.43,2,10
Z,orig,10,2,220.12,1.42,2,10
Z,orig,10,3,220.09,1.42,2,10
Z,orig,20,1,218.90,1.41,2,10
Z,orig,20,2,223.02,1.40,2,10
Z,orig,20,3,216.21,1.45,2,10
Z,orig,46,1,219.25,1.42,2,10
Z,orig,46,2,224.48,1.46,2,10
Z,orig,46,3,247.38,1.42,2,10
Z,orig,92,1,221.26,1.42,2,10
Z,orig,92,2,226.94,1.41,2,10
Z,orig,92,3,225.13,1.44,2,10
Z,vacuum,0,1,392.95,1.44,2,11
Z,vacuum,0,2,337.00,1.43,2,11
Z,vacuum,0,3,340.53,1.42,2,11
Z,vacuum,1,1,547.48,1.42,2,11
Z,vacuum,1,2,410.79,1.42,2,10
Z,vacuum,1,3,412.79,1.42,2,10
Z,vacuum,5,1,236.50,1.42,1,11
Z,vacuum,5,2,238.07,1.42,1,12
Z,vacuum,5,3,235.52,1.41,1,11
Z,vacuum,10,1,253.51,1.41,1,11
Z,vacuum,10,2,247.00,1.41,1,11
Z,vacuum,10,3,259.37,1.42,1,11
Z,vacuum,20,1,242.32,1.42,1,11
Z,vacuum,20,2,250.33,1.42,1,11
Z,vacuum,20,3,243.81,1.41,1,11
Z,vacuum,46,1,258.38,1.43,1,11
Z,vacuum,46,2,237.81,1.42,1,11
Z,vacuum,46,3,251.51,1.42,1,11
Z,vacuum,92,1,248.76,1.42,1,11
Z,vacuum,92,2,246.27,1.43,1,12
Z,vacuum,92,3,249.74,1.41,1,11
Z,ta,0,1,414.40,1.42,3,13
Z,ta,0,2,416.83,1.44,3,13
Z,ta,0,3,411.55,1.42,3,13
Z,ta,1,1,413.76,1.43,4,12
Z,ta,1,2,406.30,1.43,4,13
Z,ta,1,3,409.11,1.44,4,12
Z,ta,5,1,131.07,1.44,3,12
Z,ta,5,2,128.40,1.45,3,12
Z,ta,5,3,124.94,1.44,3,12
Z,ta,10,1,126.62,1.42,3,12
Z,ta,10,2,125.19,1.47,3,12
Z,ta,10,3,129.83,1.43,3,12
Z,ta,20,1,130.44,1.42,3,13
Z,ta,20,2,155.66,1.42,3,12
Z,ta,20,3,127.45,1.41,3,12
Z,ta,46,1,129.49,1.43,3,12
Z,ta,46,2,130.29,1.42,3,12
Z,ta,46,3,130.32,1.42,3,12
Z,ta,92,1,123.63,1.43,3,12
Z,ta,92,2,115.24,1.44,3,12
Z,ta,92,3,110.42,1.42,3,12
