workload,N,first_q_median,first_q_min,first_q_max,avg_us_median
A,0,406.42,400.61,411.34,1.78
A,1,410.56,408.10,515.42,1.79
A,5,136.58,130.72,156.00,1.78
A,10,128.66,125.14,138.87,1.77
A,20,127.92,123.09,132.41,1.76
A,46,131.17,130.97,132.32,1.78
A,92,116.15,109.05,120.40,1.80
B,0,413.50,404.81,509.42,1.83
B,1,408.97,405.84,423.33,1.84
B,5,431.86,359.13,442.92,1.85
B,10,431.55,429.38,451.22,1.83
B,20,411.15,239.97,460.75,1.86
B,46,319.80,248.25,444.92,1.85
B,92,422.51,335.21,428.97,1.85
C,0,460.11,456.46,476.21,1.52
C,1,408.57,402.32,418.28,1.52
C,5,325.62,315.55,336.02,1.52
C,10,316.53,262.56,327.58,1.51
C,20,328.39,319.63,358.56,1.52
C,46,311.38,306.25,346.38,1.52
C,92,412.87,245.68,418.44,1.52
