db,N,first_q_median,first_q_min,first_q_max,avg_us_median
orig,0,319.16,312.98,328.98,1.41
orig,1,390.00,382.56,391.00,1.43
orig,5,221.99,213.21,225.53,1.42
orig,10,220.12,220.09,221.72,1.42
orig,20,218.90,216.21,223.02,1.41
orig,46,224.48,219.25,247.38,1.42
orig,92,225.13,221.26,226.94,1.42
ta,0,414.40,411.55,416.83,1.42
ta,1,409.11,406.30,413.76,1.43
ta,5,128.40,124.94,131.07,1.44
ta,10,126.62,125.19,129.83,1.43
ta,20,130.44,127.45,155.66,1.42
ta,46,130.29,129.49,130.32,1.42
ta,92,115.24,110.42,123.63,1.43
vacuum,0,340.53,337.00,392.95,1.43
vacuum,1,412.79,410.79,547.48,1.42
vacuum,5,236.50,235.52,238.07,1.42
vacuum,10,253.51,247.00,259.37,1.41
vacuum,20,243.81,242.32,250.33,1.42
vacuum,46,251.51,237.81,258.38,1.42
vacuum,92,248.76,246.27,249.74,1.42
