cadence,round,first_q_us,delivery_pct
1.0,0,27.03,100.0
1.0,1,25.76,100.0
1.0,2,25.16,100.0
1.0,3,36.74,100.0
1.0,4,26.10,100.0
1.0,5,29.93,100.0
1.0,6,26.07,100.0
1.0,7,25.46,100.0
5.0,0,262.38,0.7
5.0,1,25.80,100.0
5.0,2,24.71,100.0
5.0,3,273.25,0.7
5.0,4,31.56,100.0
5.0,5,23.79,100.0
5.0,6,268.76,0.7
5.0,7,24.41,100.0
30.0,0,347.14,0.7
30.0,1,342.48,0.7
30.0,2,281.52,0.7
30.0,3,274.82,0.7
30.0,4,276.12,0.7
30.0,5,268.65,0.7
30.0,6,280.15,0.7
30.0,7,281.97,0.7
never,0,319.42,0.7
never,1,334.27,0.7
never,2,273.88,0.7
never,3,284.10,0.7
never,4,286.43,0.7
never,5,290.27,0.7
never,6,330.57,0.7
never,7,331.20,0.7
