workload,layout,checkpoint,strategy,first_query_us
A,orig,0,baseline,378.43
A,orig,0,2e_K10_static,240.70
A,orig,0,layers_92_static,253.86
A,orig,1,baseline,407.23
A,orig,1,2e_K10_static,271.23
A,orig,1,layers_92_static,277.85
A,orig,2,baseline,368.81
A,orig,2,2e_K10_static,338.58
A,orig,2,layers_92_static,277.67
A,orig,3,baseline,360.21
A,orig,3,2e_K10_static,276.96
A,orig,3,layers_92_static,276.08
A,orig,4,baseline,377.33
A,orig,4,2e_K10_static,271.24
A,orig,4,layers_92_static,270.03
A,orig,5,baseline,328.82
A,orig,5,2e_K10_static,308.96
A,orig,5,layers_92_static,308.61
A,orig,6,baseline,367.96
A,orig,6,2e_K10_static,270.95
A,orig,6,layers_92_static,270.49
A,orig,7,baseline,369.44
A,orig,7,2e_K10_static,229.99
A,orig,7,layers_92_static,230.68
A,orig,8,baseline,346.74
A,orig,8,2e_K10_static,230.43
A,orig,8,layers_92_static,228.72
A,orig,9,baseline,362.45
A,orig,9,2e_K10_static,225.36
A,orig,9,layers_92_static,243.64
A,orig,10,baseline,326.78
A,orig,10,2e_K10_static,228.05
A,orig,10,layers_92_static,230.33
B,orig,0,baseline,530.73
B,orig,0,2e_K10_static,253.42
B,orig,0,layers_92_static,259.30
B,orig,1,baseline,546.73
B,orig,1,2e_K10_static,252.42
B,orig,1,layers_92_static,251.97
B,orig,2,baseline,571.06
B,orig,2,2e_K10_static,301.71
B,orig,2,layers_92_static,282.71
B,orig,3,baseline,516.57
B,orig,3,2e_K10_static,279.93
B,orig,3,layers_92_static,298.39
B,orig,4,baseline,558.53
B,orig,4,2e_K10_static,305.39
B,orig,4,layers_92_static,339.10
B,orig,5,baseline,506.70
B,orig,5,2e_K10_static,302.32
B,orig,5,layers_92_static,299.32
B,orig,6,baseline,513.71
B,orig,6,2e_K10_static,294.73
B,orig,6,layers_92_static,295.13
B,orig,7,baseline,508.07
B,orig,7,2e_K10_static,264.59
B,orig,7,layers_92_static,266.47
B,orig,8,baseline,542.80
B,orig,8,2e_K10_static,275.54
B,orig,8,layers_92_static,278.44
B,orig,9,baseline,475.04
B,orig,9,2e_K10_static,235.48
B,orig,9,layers_92_static,247.82
B,orig,10,baseline,493.04
B,orig,10,2e_K10_static,246.12
B,orig,10,layers_92_static,252.65
C,orig,0,baseline,592.48
C,orig,0,2e_K10_static,86.14
C,orig,0,layers_92_static,251.93
C,orig,1,baseline,563.44
C,orig,1,2e_K10_static,89.35
C,orig,1,layers_92_static,245.34
C,orig,2,baseline,615.69
C,orig,2,2e_K10_static,83.39
C,orig,2,layers_92_static,277.59
C,orig,3,baseline,564.47
C,orig,3,2e_K10_static,81.43
C,orig,3,layers_92_static,273.74
C,orig,4,baseline,564.84
C,orig,4,2e_K10_static,265.05
C,orig,4,layers_92_static,302.85
C,orig,5,baseline,586.86
C,orig,5,2e_K10_static,86.50
C,orig,5,layers_92_static,308.56
C,orig,6,baseline,610.92
C,orig,6,2e_K10_static,81.95
C,orig,6,layers_92_static,268.15
C,orig,7,baseline,586.38
C,orig,7,2e_K10_static,87.86
C,orig,7,layers_92_static,592.34
C,orig,8,baseline,543.01
C,orig,8,2e_K10_static,86.10
C,orig,8,layers_92_static,265.38
C,orig,9,baseline,527.75
C,orig,9,2e_K10_static,83.64
C,orig,9,layers_92_static,263.50
C,orig,10,baseline,543.58
C,orig,10,2e_K10_static,82.39
C,orig,10,layers_92_static,266.41
A,vacuum,0,baseline,408.96
A,vacuum,0,2e_K10_static,251.20
A,vacuum,0,layers_92_static,251.49
A,vacuum,1,baseline,525.76
A,vacuum,1,2e_K10_static,321.06
A,vacuum,1,layers_92_static,320.60
A,vacuum,2,baseline,443.44
A,vacuum,2,2e_K10_static,276.04
A,vacuum,2,layers_92_static,274.87
A,vacuum,3,baseline,354.76
A,vacuum,3,2e_K10_static,250.25
A,vacuum,3,layers_92_static,253.96
A,vacuum,4,baseline,360.17
A,vacuum,4,2e_K10_static,270.34
A,vacuum,4,layers_92_static,245.44
A,vacuum,5,baseline,350.80
A,vacuum,5,2e_K10_static,244.63
A,vacuum,5,layers_92_static,241.55
A,vacuum,6,baseline,345.39
A,vacuum,6,2e_K10_static,224.00
A,vacuum,6,layers_92_static,220.91
A,vacuum,7,baseline,361.70
A,vacuum,7,2e_K10_static,254.66
A,vacuum,7,layers_92_static,256.43
A,vacuum,8,baseline,394.07
A,vacuum,8,2e_K10_static,253.98
A,vacuum,8,layers_92_static,258.00
A,vacuum,9,baseline,345.96
A,vacuum,9,2e_K10_static,246.08
A,vacuum,9,layers_92_static,247.99
A,vacuum,10,baseline,370.43
A,vacuum,10,2e_K10_static,232.43
A,vacuum,10,layers_92_static,235.00
B,vacuum,0,baseline,582.28
B,vacuum,0,2e_K10_static,253.37
B,vacuum,0,layers_92_static,250.44
B,vacuum,1,baseline,691.15
B,vacuum,1,2e_K10_static,247.06
B,vacuum,1,layers_92_static,283.71
B,vacuum,2,baseline,679.53
B,vacuum,2,2e_K10_static,282.79
B,vacuum,2,layers_92_static,276.41
B,vacuum,3,baseline,564.62
B,vacuum,3,2e_K10_static,276.60
B,vacuum,3,layers_92_static,279.88
B,vacuum,4,baseline,620.74
B,vacuum,4,2e_K10_static,303.98
B,vacuum,4,layers_92_static,273.82
B,vacuum,5,baseline,550.88
B,vacuum,5,2e_K10_static,276.38
B,vacuum,5,layers_92_static,274.32
B,vacuum,6,baseline,621.81
B,vacuum,6,2e_K10_static,308.29
B,vacuum,6,layers_92_static,306.42
B,vacuum,7,baseline,605.28
B,vacuum,7,2e_K10_static,306.61
B,vacuum,7,layers_92_static,306.67
B,vacuum,8,baseline,577.12
B,vacuum,8,2e_K10_static,273.60
B,vacuum,8,layers_92_static,275.22
B,vacuum,9,baseline,513.20
B,vacuum,9,2e_K10_static,273.25
B,vacuum,9,layers_92_static,274.58
B,vacuum,10,baseline,550.36
B,vacuum,10,2e_K10_static,271.44
B,vacuum,10,layers_92_static,275.84
C,vacuum,0,baseline,506.55
C,vacuum,0,2e_K10_static,82.64
C,vacuum,0,layers_92_static,240.86
C,vacuum,1,baseline,624.74
C,vacuum,1,2e_K10_static,82.60
C,vacuum,1,layers_92_static,276.93
C,vacuum,2,baseline,564.83
C,vacuum,2,2e_K10_static,83.56
C,vacuum,2,layers_92_static,274.20
C,vacuum,3,baseline,514.52
C,vacuum,3,2e_K10_static,83.22
C,vacuum,3,layers_92_static,283.11
C,vacuum,4,baseline,513.61
C,vacuum,4,2e_K10_static,290.79
C,vacuum,4,layers_92_static,243.93
C,vacuum,5,baseline,534.11
C,vacuum,5,2e_K10_static,85.50
C,vacuum,5,layers_92_static,266.99
C,vacuum,6,baseline,512.22
C,vacuum,6,2e_K10_static,82.97
C,vacuum,6,layers_92_static,262.67
C,vacuum,7,baseline,511.35
C,vacuum,7,2e_K10_static,83.69
C,vacuum,7,layers_92_static,269.49
C,vacuum,8,baseline,505.08
C,vacuum,8,2e_K10_static,83.18
C,vacuum,8,layers_92_static,257.63
C,vacuum,9,baseline,499.98
C,vacuum,9,2e_K10_static,81.32
C,vacuum,9,layers_92_static,245.92
C,vacuum,10,baseline,483.27
C,vacuum,10,2e_K10_static,81.29
C,vacuum,10,layers_92_static,252.25
A,ta,0,baseline,453.93
A,ta,0,2e_K10_static,228.48
A,ta,0,layers_92_static,117.31
A,ta,1,baseline,533.96
A,ta,1,2e_K10_static,267.91
A,ta,1,layers_92_static,116.75
A,ta,2,baseline,509.42
A,ta,2,2e_K10_static,232.74
A,ta,2,layers_92_static,115.15
A,ta,3,baseline,547.36
A,ta,3,2e_K10_static,226.22
A,ta,3,layers_92_static,115.87
A,ta,4,baseline,492.48
A,ta,4,2e_K10_static,268.54
A,ta,4,layers_92_static,116.40
A,ta,5,baseline,517.24
A,ta,5,2e_K10_static,264.59
A,ta,5,layers_92_static,117.20
A,ta,6,baseline,548.27
A,ta,6,2e_K10_static,230.98
A,ta,6,layers_92_static,116.78
A,ta,7,baseline,504.69
A,ta,7,2e_K10_static,232.60
A,ta,7,layers_92_static,116.05
A,ta,8,baseline,552.58
A,ta,8,2e_K10_static,226.84
A,ta,8,layers_92_static,116.74
A,ta,9,baseline,486.86
A,ta,9,2e_K10_static,223.25
A,ta,9,layers_92_static,117.51
A,ta,10,baseline,462.79
A,ta,10,2e_K10_static,228.32
A,ta,10,layers_92_static,117.43
B,ta,0,baseline,463.89
B,ta,0,2e_K10_static,250.73
B,ta,0,layers_92_static,423.73
B,ta,1,baseline,512.65
B,ta,1,2e_K10_static,284.47
B,ta,1,layers_92_static,455.35
B,ta,2,baseline,492.51
B,ta,2,2e_K10_static,249.47
B,ta,2,layers_92_static,430.23
B,ta,3,baseline,485.59
B,ta,3,2e_K10_static,269.81
B,ta,3,layers_92_static,427.87
B,ta,4,baseline,462.92
B,ta,4,2e_K10_static,240.02
B,ta,4,layers_92_static,418.91
B,ta,5,baseline,501.02
B,ta,5,2e_K10_static,236.82
B,ta,5,layers_92_static,427.72
B,ta,6,baseline,459.38
B,ta,6,2e_K10_static,236.58
B,ta,6,layers_92_static,425.95
B,ta,7,baseline,448.33
B,ta,7,2e_K10_static,236.73
B,ta,7,layers_92_static,241.94
B,ta,8,baseline,473.44
B,ta,8,2e_K10_static,248.88
B,ta,8,layers_92_static,433.62
B,ta,9,baseline,495.31
B,ta,9,2e_K10_static,253.69
B,ta,9,layers_92_static,437.11
B,ta,10,baseline,482.02
B,ta,10,2e_K10_static,252.71
B,ta,10,layers_92_static,436.52
C,ta,0,baseline,524.77
C,ta,0,2e_K10_static,83.41
C,ta,0,layers_92_static,417.80
C,ta,1,baseline,545.26
C,ta,1,2e_K10_static,81.74
C,ta,1,layers_92_static,461.63
C,ta,2,baseline,588.81
C,ta,2,2e_K10_static,83.10
C,ta,2,layers_92_static,440.07
C,ta,3,baseline,536.56
C,ta,3,2e_K10_static,81.59
C,ta,3,layers_92_static,464.32
C,ta,4,baseline,579.75
C,ta,4,2e_K10_static,81.31
C,ta,4,layers_92_static,463.81
C,ta,5,baseline,564.62
C,ta,5,2e_K10_static,81.16
C,ta,5,layers_92_static,498.58
C,ta,6,baseline,571.52
C,ta,6,2e_K10_static,82.38
C,ta,6,layers_92_static,492.42
C,ta,7,baseline,617.03
C,ta,7,2e_K10_static,80.96
C,ta,7,layers_92_static,491.02
C,ta,8,baseline,514.52
C,ta,8,2e_K10_static,79.75
C,ta,8,layers_92_static,453.38
C,ta,9,baseline,576.61
C,ta,9,2e_K10_static,80.99
C,ta,9,layers_92_static,489.09
C,ta,10,baseline,547.34
C,ta,10,2e_K10_static,81.46
C,ta,10,layers_92_static,486.79
