page_number,page_type,file_offset,length,residency_count,selection_rank,io_operation_index,prefetch_succeeded
2,interior_table,4096,4096,0,1,0,1
3,interior_index,8192,4096,0,2,0,1
4,interior_index,12288,4096,0,3,0,1
674,interior_table,2756608,4096,0,4,1,1
675,interior_table,2760704,4096,0,5,1,1
1267,interior_table,5185536,4096,0,6,2,1
1588,interior_index,6500352,4096,0,7,3,1
1589,interior_index,6504448,4096,0,8,3,1
1640,interior_index,6713344,4096,0,9,4,1
1641,interior_index,6717440,4096,0,10,4,1
1866,interior_table,7639040,4096,0,11,5,1
2390,interior_table,9785344,4096,0,12,6,1
2909,interior_table,11911168,4096,0,13,7,1
3071,interior_index,12574720,4096,0,14,8,1
3183,interior_index,13033472,4096,0,15,9,1
3433,interior_table,14057472,4096,0,16,10,1
3964,interior_table,16232448,4096,0,17,11,1
4479,interior_table,18341888,4096,0,18,12,1
4552,interior_index,18640896,4096,0,19,13,1
4699,interior_index,19243008,4096,0,20,14,1
4998,interior_table,20467712,4096,0,21,15,1
5532,interior_table,22654976,4096,0,22,16,1
5598,interior_index,22925312,4096,0,23,17,1
5864,interior_index,24014848,4096,0,24,18,1
6053,interior_table,24788992,4096,0,25,19,1
6570,interior_table,26906624,4096,0,26,20,1
6729,interior_index,27557888,4096,0,27,21,1
7092,interior_table,29044736,4096,0,28,22,1
7155,interior_index,29302784,4096,0,29,23,1
7622,interior_table,31215616,4096,0,30,24,1
7959,interior_index,32595968,4096,0,31,25,1
8150,interior_table,33378304,4096,0,32,26,1
8471,interior_index,34693120,4096,0,33,27,1
8673,interior_table,35520512,4096,0,34,28,1
9178,interior_table,37588992,4096,0,35,29,1
9711,interior_table,39772160,4096,0,36,30,1
9756,interior_index,39956480,4096,0,37,31,1
10227,interior_table,41885696,4096,0,38,32,1
10626,interior_index,43520000,4096,0,39,33,1
10758,interior_table,44060672,4096,0,40,34,1
11052,interior_index,45264896,4096,0,41,35,1
11284,interior_table,46215168,4096,0,42,36,1
11808,interior_table,48361472,4096,0,43,37,1
12175,interior_index,49864704,4096,0,44,38,1
12243,interior_index,50143232,4096,0,45,39,1
12357,interior_table,50610176,4096,0,46,40,1
12385,interior_index,50724864,4096,0,47,41,1
12873,interior_table,52723712,4096,0,48,42,1
13392,interior_table,54849536,4096,0,49,43,1
13674,interior_index,56004608,4096,0,50,44,1
13925,interior_table,57032704,4096,0,51,45,1
14374,interior_index,58871808,4096,0,52,46,1
14499,interior_table,59383808,4096,0,53,47,1
15060,interior_table,61681664,4096,0,54,48,1
15068,interior_index,61714432,4096,0,55,49,1
15596,interior_table,63877120,4096,0,56,50,1
15685,interior_index,64241664,4096,0,57,51,1
16117,interior_table,66011136,4096,0,58,52,1
16363,interior_index,67018752,4096,0,59,53,1
16555,interior_index,67805184,4096,0,60,54,1
16605,interior_table,68009984,4096,0,61,55,1
17083,interior_table,69967872,4096,0,62,56,1
17552,interior_index,71888896,4096,0,63,57,1
17565,interior_table,71942144,4096,0,64,58,1
18071,interior_table,74014720,4096,0,65,59,1
18599,interior_table,76177408,4096,0,66,60,1
18853,interior_index,77217792,4096,0,67,61,1
18963,interior_index,77668352,4096,0,68,62,1
19142,interior_table,78401536,4096,0,69,63,1
19638,interior_table,80433152,4096,0,70,64,1
20128,interior_index,82440192,4096,0,71,65,1
20156,interior_table,82554880,4096,0,72,66,1
20346,interior_index,83333120,4096,0,73,67,1
20679,interior_table,84697088,4096,0,74,68,1
21202,interior_table,86839296,4096,0,75,69,1
21422,interior_index,87740416,4096,0,76,70,1
21724,interior_table,88977408,4096,0,77,71,1
22262,interior_table,91181056,4096,0,78,72,1
22737,interior_index,93126656,4096,0,79,73,1
22786,interior_table,93327360,4096,0,80,74,1
22894,interior_index,93769728,4096,0,81,75,1
23042,interior_index,94375936,4096,0,82,76,1
23203,interior_index,95035392,4096,0,83,77,1
23334,interior_table,95571968,4096,0,84,78,1
23882,interior_table,97816576,4096,0,85,79,1
24092,interior_index,98676736,4096,0,86,80,1
24408,interior_table,99971072,4096,0,87,81,1
24552,interior_index,100560896,4096,0,88,82,1
24960,interior_table,102232064,4096,0,89,83,1
25412,interior_index,104083456,4096,0,90,84,1
25481,interior_table,104366080,4096,0,91,85,1
26007,interior_table,106520576,4096,0,92,86,1
